fromGate,toGate,distance,time
A3B,B4,1255,18
A3B,B7,1269,18
A3B,B6,1266,18
A3B,B5,1270,18
A3B,B20,1064,15
A3B,B12,1077,15
A3B,B19,1082,15
A3B,B14,1111,16
A3B,B18,1119,16
A3B,B15,1138,16
A3B,B17,1151,16
A3B,B16,1147,16
A3B,B21,1112,16
A3B,B31,1137,16
A3B,B30,1159,17
A3B,B22,1180,17
A3B,B29,1198,17
A3B,B23,1217,18
A3B,B28,1233,18
A3B,B24,1257,18
A3B,B27,1269,18
A3B,B26,1270,18
A3B,B25,1273,18
A3B,B85A,1031,14
A3B,B81A,986,13
A3B,B77A,985,13
A3B,B76A,988,13
A3B,B79A,984,13
A3B,C1,1558,16
A3B,C2,1615,17
A3B,C29,1818,20
A3B,C30,1823,21
A3B,C31,1798,20
A3B,C32,1762,20
A3B,C33,1725,19
A3B,C34,1686,18
A3B,C35,1720,19
A3B,C36,1754,19
A3B,C37,1776,20
A3B,C39,1782,20
A3B,C40,1766,20
A3B,C41,1736,19
A3B,C42,1703,19
A3B,C43,1708,19
A3B,C44,1752,19
A3B,C45,1789,20
A3B,C3,1651,18
A3B,C4,1806,20
A3B,C5,1844,21
A3B,C6,1902,22
A3B,C7,1939,22
A3B,C8,1939,22
A3B,C9,1934,22
A3B,C10,1892,22
A3B,C11,1855,21
A3B,C12,1788,20
A3B,C14,1256,19
A3B,C15,1201,18
A3B,D1,1574,16
A3B,D2,1603,17
A3B,D3,1623,17
A3B,D4,1805,20
A3B,D5,1804,20
A3B,D6,2155,20
A3B,D7,2071,19
A3B,D8,2085,19
A3B,D9,2147,20
A3B,D10,2207,21
A3B,D11,2206,21
A3B,D12,2203,21
A3B,D9A,2152,20
A3B,E1,2394,24
A3B,E2,2413,25
A3B,E3,2431,25
A3B,E4,2474,26
A3B,E5,2502,26
A3B,E6,2495,26
A3B,E7,2495,26
A3B,E8,2461,26
A3B,E9,2426,25
A3B,E10,2260,22
A3B,E11,2245,22
A3B,E12,2168,21
A3B,E14,2212,21
A3B,E24,2297,23
A3B,E23,2323,23
A3B,E15,2350,24
A3B,E16,2398,24
A3B,E17,2420,25
A3B,E18,2459,25
A3B,E19,2450,25
A3B,E20,2408,25
A3B,E21,2392,24
A3B,E22,2365,24
A3A,A3H,55,1
A3A,A3G,36,1
A3A,A3F,23,1
A3A,A3E,24,1
A3A,A3D,59,1
A3A,A3C,53,1
A3A,A3B,39,1
A3A,A15,422,7
A3A,A14,434,8
A3A,A12,398,7
A3A,A11,374,7
A3A,A10,361,6
A3A,A9,344,6
A3A,A8,316,6
A3A,A7,284,5
A3A,A2,129,2
A3A,A1,171,3
A3A,A17,544,9
A3A,A18,574,10
A3A,A19,583,10
A3A,A20,573,10
A3A,A24,566,10
A3A,A25,458,8
A3A,A26,492,8
A3A,A27,528,9
A3A,A29,535,9
A3A,A30,540,9
A3A,B76,953,13
A3A,B77,950,13
A3A,B79,949,13
A3A,B80,950,13
A3A,B81,951,13
A3A,B83,954,13
A3A,B85,996,13
A3A,B86,996,14
A3A,B86A,997,14
A3A,B87,997,14
A3A,B88,998,14
A3A,B11,1058,15
A3A,B1,1112,16
A3A,B10,1127,16
A3A,B2,1147,16
A3A,B9,1161,17
A3A,B3,1184,17
A3A,B8,1200,17
A3A,B4,1220,18
A3A,B7,1234,18
A3A,B6,1231,18
A3A,B5,1235,18
A3A,B20,1029,14
A3A,B12,1042,15
A3A,B19,1047,15
A3A,B14,1076,15
A3A,B18,1084,15
A3A,B15,1104,16
A3A,B17,1116,16
A3A,B16,1112,16
A3A,B21,1077,15
A3A,B31,1102,16
A3A,B30,1124,16
A3A,B22,1145,16
A3A,B29,1163,17
A3A,B23,1182,17
A3A,B28,1198,17
A3A,B24,1222,18
A3A,B27,1235,18
A3A,B26,1235,18
A3A,B25,1238,18
A3A,B85A,996,13
A3A,B81A,951,13
A3A,B77A,950,13
A3A,B76A,953,13
A3A,B79A,949,13
A3A,C1,1523,15
A3A,C2,1581,16
A3A,C29,1783,20
A3A,C30,1788,20
A3A,C31,1763,20
A3A,C32,1728,19
A3A,C33,1691,18
A3A,C34,1652,18
A3A,C35,1685,18
A3A,C36,1720,19
A3A,C37,1741,19
A3A,C39,1747,19
A3A,C40,1731,19
A3A,C41,1701,19
A3A,C42,1669,18
A3A,C43,1674,18
A3A,C44,1717,19
A3A,C45,1754,19
A3A,C3,1616,17
A3A,C4,1772,20
A3A,C5,1809,20
A3A,C6,1867,21
A3A,C7,1905,22
A3A,C8,1904,22
A3A,C9,1899,22
A3A,C10,1857,21
A3A,C11,1820,20
A3A,C12,1753,19
A3A,C14,1221,18
A3A,C15,1166,17
A3A,D1,1539,16
A3A,D2,1568,16
A3A,D3,1589,17
A3A,D4,1770,20
A3A,D5,1770,20
