checkin_counter,gateNumber,distance,time
Emirates Check-in,B19,1848,28
Emirates Check-in,B14,1877,28
Emirates Check-in,B18,1885,28
Emirates Check-in,B15,1904,29
Emirates Check-in,B17,1917,29
Emirates Check-in,B16,1913,29
Emirates Check-in,B21,1878,28
Emirates Check-in,B31,1902,29
Emirates Check-in,B30,1925,29
Emirates Check-in,B22,1946,29
Emirates Check-in,B29,1963,30
Emirates Check-in,B23,1983,30
Emirates Check-in,B28,1999,30
Emirates Check-in,B24,2022,31
Emirates Check-in,B27,2035,31
Emirates Check-in,B26,2036,31
Emirates Check-in,B25,2039,31
Emirates Check-in,B85A,1797,27
Emirates Check-in,B83A ,unknown,unknown
Emirates Check-in,B81A,1752,26
Emirates Check-in,B77A,1751,26
Emirates Check-in,B76A,1754,26
Emirates Check-in,B79A,1750,26
Emirates Check-in,C1,969,19
Emirates Check-in,C2,1026,20
Emirates Check-in,C29,1105,21
Emirates Check-in,C30,1109,21
Emirates Check-in,C31,1085,21
Emirates Check-in,C32,1049,20
Emirates Check-in,C33,1012,20
Emirates Check-in,C34,973,19
Emirates Check-in,C35,1007,20
Emirates Check-in,C36,1041,20
Emirates Check-in,C37,1062,21
Emirates Check-in,C39,1069,21
Emirates Check-in,C40,1052,20
Emirates Check-in,C41,1023,20
Emirates Check-in,C42,990,19
Emirates Check-in,C43,995,19
Emirates Check-in,C44,1038,20
Emirates Check-in,C45,1076,21
Emirates Check-in,C3,1062,21
Emirates Check-in,C4,1217,23
Emirates Check-in,C5,1255,24
Emirates Check-in,C6,1313,25
Emirates Check-in,C7,1350,25
Emirates Check-in,C8,1350,25
Emirates Check-in,C9,1345,25
Emirates Check-in,C10,1303,25
Emirates Check-in,C11,1266,24
Emirates Check-in,C12,1199,23
Emirates Check-in,C14,1244,29
Emirates Check-in,C15,1295,29
Emirates Check-in,D1,985,24
Emirates Check-in,D2,1014,25
Emirates Check-in,D3,1034,25
Emirates Check-in,D4,300,5
Emirates Check-in,D5,299,5
Emirates Check-in,D6,242,4
Emirates Check-in,D7,245,4
Emirates Check-in,D8,316,5
Emirates Check-in,D9,379,6
Emirates Check-in,D10,439,7
Emirates Check-in,D11,438,7
Emirates Check-in,D12,434,7
Emirates Check-in,D9A,383,6
Emirates Check-in,E1,759,12
Emirates Check-in,E2,779,13
Emirates Check-in,E3,796,13
Emirates Check-in,E4,839,14
Emirates Check-in,E5,867,14
Emirates Check-in,E6,861,14
Emirates Check-in,E7,861,14
Emirates Check-in,E8,826,13
Emirates Check-in,E9,791,13
Emirates Check-in,E10,626,10
Emirates Check-in,E11,610,10
Emirates Check-in,E12,534,9
Emirates Check-in,E14,577,9
Emirates Check-in,E24,662,11
Emirates Check-in,E23,688,11
Emirates Check-in,E15,715,12
Emirates Check-in,E16,763,12
Emirates Check-in,E17,786,13
Emirates Check-in,E18,824,13
Emirates Check-in,E19,816,13
Emirates Check-in,E20,774,13
Emirates Check-in,E21,757,12
Emirates Check-in,E22,730,12
